Company,TypeName,Inches,Ram,Weight,Price,Touchscreen,IPS,ppi,cpu_brand,HDD,SSD,gpu_brand,OS
Lenovo,Gaming,15,8,2.5,128.02919806748497,0,1,146.86047800548656,Intel Core i5,1000,128,Nvidia,Windows
HP,Notebook,15,4,1.86,112.10188672921828,0,0,104.47285665558198,AMD Processor,500,0,AMD,Other
Dell,2 in 1 Convertible,13,8,1.62,125.69193007930546,1,0,169.45439769863833,Intel Core i5,0,256,Intel,Windows
HP,Ultrabook,15,8,1.91,123.13461698966763,0,0,146.86047800548656,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,15,4,2.3,117.79683946945651,0,0,104.47285665558198,Intel Core i3,1000,0,Intel,Windows
Apple,Ultrabook,13,8,1.35,129.15159784113894,0,0,130.62435413616836,Intel Core i5,0,0,Intel,Mac
Dell,Notebook,15,8,2.2,125.41586643235881,0,0,146.86047800548656,Intel Core i5,0,256,AMD,Windows
Dell,Ultrabook,15,8,1.88,131.1096286988434,0,0,146.86047800548656,Intel Core i7,0,256,Intel,Windows
HP,Notebook,17,8,2.5,126.74895021052437,0,0,129.58277471072344,Intel Core i5,1000,0,Nvidia,Windows
Chuwi,Notebook,15,4,1.89,111.49328986056196,0,0,146.86047800548656,Other Intel Processor,0,0,Intel,Windows
Asus,Notebook,14,2,1.65,109.04648090251516,0,0,111.93520355955211,AMD Processor,0,0,AMD,Windows
HP,Notebook,17,4,2.71,118.35514230234276,0,0,129.58277471072344,AMD Processor,500,0,AMD,Windows
Dell,Ultrabook,13,16,1.2,135.39890016494599,1,0,282.4239961643972,Intel Core i7,0,512,Intel,Windows
Apple,Ultrabook,13,8,1.35,128.01747728530523,0,0,130.62435413616836,Intel Core i5,0,0,Intel,Mac
Lenovo,Notebook,14,4,1.44,111.68372098729088,0,0,111.93520355955211,Other Intel Processor,0,0,Intel,Windows
Acer,Notebook,15,4,2.1,116.24761224602798,0,0,104.47285665558198,Intel Core i3,1000,0,Intel,Other
Dell,Notebook,17,8,2.8,127.79140697278793,0,1,129.58277471072344,Intel Core i5,1000,128,AMD,Windows
HP,Notebook,15,4,1.86,119.61696049801661,0,0,104.47285665558198,Intel Core i5,1000,0,Intel,Windows
HP,Notebook,15,8,2.1,126.52377421517933,0,0,146.86047800548656,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,15,4,2.0,116.93247029514315,0,0,146.86047800548656,Intel Core i3,1000,0,Intel,Other
Dell,Gaming,15,16,2.65,132.80343250607032,0,1,146.86047800548656,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,15,8,2.3,120.4148198946381,0,0,104.47285665558198,Intel Core i5,1000,0,Nvidia,Other
Acer,Notebook,15,4,2.2,123.53808851359649,0,1,146.86047800548656,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,17,12,2.77,128.02919806748497,1,0,129.58277471072344,Intel Core i5,1000,0,Nvidia,Windows
Apple,Ultrabook,13,8,1.37,132.15823317276022,0,1,232.22107401985488,Intel Core i5,0,256,Intel,Other
Lenovo,Notebook,15,4,2.2,116.31181786275474,0,0,104.47285665558198,Intel Core i3,0,128,Intel,Other
Asus,Gaming,17,8,3.2,131.1186415376055,0,0,129.58277471072344,AMD Processor,1000,256,AMD,Windows
Dell,Notebook,15,4,2.3,122.7718899135485,0,0,146.86047800548656,Intel Core i5,0,256,AMD,Windows
Asus,Notebook,17,4,2.8,119.05758003569939,0,0,92.18193234316057,Other Intel Processor,1000,0,Nvidia,Windows
Lenovo,2 in 1 Convertible,10,4,0.69,114.59875321569616,1,1,226.4155471693585,Other Intel Processor,0,0,Intel,Other
Acer,Notebook,15,8,2.2,126.00374930861456,0,1,146.86047800548656,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,15,4,1.86,117.21625940982629,0,0,146.86047800548656,AMD Processor,0,256,AMD,Windows
HP,Notebook,13,8,1.49,129.19431698695783,0,0,169.45439769863833,Intel Core i7,0,512,Intel,Windows
Acer,Notebook,15,4,2.4,116.7804934634766,0,0,104.47285665558198,Intel Core i3,1000,0,Intel,Windows
Dell,Notebook,15,8,2.13,124.93242513836606,0,0,146.86047800548656,Intel Core i7,0,256,AMD,Windows
HP,Notebook,15,4,1.91,118.35514230234276,0,0,146.86047800548656,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,15,4,2.0,121.75728530573991,0,0,104.47285665558198,Intel Core i5,0,256,Intel,Windows
MSI,Gaming,17,16,2.43,138.57864610048668,0,0,129.58277471072344,Intel Core i7,2000,256,Nvidia,Windows
Asus,Notebook,15,4,2.0,117.69406546394617,0,0,146.86047800548656,Intel Core i3,0,256,Intel,Other
Dell,Notebook,17,16,2.8,131.1186415376055,0,0,129.58277471072344,Intel Core i7,2000,256,AMD,Windows
Dell,Ultrabook,14,8,1.7,126.52377421517933,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,14,8,1.7,122.01142567260507,0,1,157.3505121487356,Intel Core i3,0,256,Intel,Other
Asus,Notebook,14,8,1.4,127.32556662429738,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,15,8,1.86,123.67553689016869,0,0,146.86047800548656,Intel Core i5,0,256,Intel,Windows
Asus,Ultrabook,15,16,1.8,136.09547945822837,0,0,146.86047800548656,Intel Core i7,0,512,Nvidia,Windows
HP,Notebook,15,4,1.86,118.34709138889396,0,0,104.47285665558198,Intel Core i3,500,0,AMD,Windows
HP,Notebook,14,4,1.44,110.69915820685934,0,0,111.93520355955211,Other Intel Processor,0,32,Intel,Windows
Lenovo,Notebook,15,4,1.9,120.98593567805966,0,0,146.86047800548656,Intel Core i5,1000,0,Intel,Windows
Asus,Gaming,17,12,3.0,127.42510936197132,0,0,129.58277471072344,Intel Core i7,1000,0,Nvidia,Other
Microsoft,Ultrabook,13,4,1.252,129.04401499067953,1,0,208.56727378068615,Intel Core i5,0,128,Intel,Windows
Dell,Ultrabook,13,8,1.4,127.49933317978704,0,1,169.45439769863833,Intel Core i7,0,256,AMD,Windows
Dell,Notebook,15,8,2.2,126.40257141764562,0,0,146.86047800548656,Intel Core i7,0,256,AMD,Windows
MSI,Gaming,17,8,2.7,129.10872301375682,0,0,129.58277471072344,Intel Core i5,1000,128,Nvidia,Windows
Acer,Notebook,14,8,2.1,116.93247029514315,0,0,111.93520355955211,Intel Core i3,1000,0,Intel,Windows
Asus,Gaming,15,8,2.2,127.42510936197132,0,0,146.86047800548656,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Notebook,15,8,2.2,120.32496576523783,0,0,146.86047800548656,Intel Core i5,2000,0,Intel,Other
Dell,Notebook,15,8,2.02,126.19800828477763,0,0,146.86047800548656,Intel Core i7,1000,128,Intel,Windows
Acer,Notebook,15,4,2.2,120.57168195956812,0,0,146.86047800548656,Intel Core i3,1000,0,Nvidia,Windows
HP,Notebook,17,8,2.5,127.76724836332976,0,0,129.58277471072344,Intel Core i5,1000,128,Nvidia,Windows
Dell,Ultrabook,15,8,1.88,129.12121913978606,0,1,146.86047800548656,Intel Core i5,0,256,Intel,Windows
Apple,Ultrabook,12,8,0.92,132.88943984279192,0,1,226.41554716935852,Intel Core i5,0,512,Intel,Other
HP,Notebook,14,8,1.63,126.26650637483252,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,15,4,2.2,117.23121162535298,0,0,146.86047800548656,AMD Processor,0,128,AMD,Windows
Acer,Notebook,15,4,2.1,117.11273563654483,0,0,104.47285665558198,AMD Processor,1000,0,AMD,Windows
Dell,Gaming,15,16,2.65,131.5629926942607,0,1,146.86047800548656,Intel Core i7,1000,128,Nvidia,Windows
HP,Ultrabook,15,8,1.83,123.82783648608115,0,1,146.86047800548656,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,15,8,1.96,122.01142567260507,0,0,146.86047800548656,Intel Core i5,0,256,Intel,Windows
Asus,Gaming,15,16,2.2,132.40430983992525,0,1,146.86047800548656,Intel Core i7,1000,128,Nvidia,Windows
Dell,Ultrabook,13,8,1.21,133.9254703665453,0,1,169.45439769863833,Intel Core i7,0,256,Intel,Windows
Asus,Gaming,15,8,2.45,123.82783648608115,0,0,146.86047800548656,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,15,8,2.2,123.65824309894502,0,0,146.86047800548656,Intel Core i7,1000,0,Nvidia,Windows
HP,Notebook,13,16,1.49,130.15664429052,0,0,169.45439769863833,Intel Core i7,0,512,Intel,Windows
Dell,Gaming,15,8,2.65,130.13688918681595,0,0,146.86047800548656,Intel Core i5,0,256,Nvidia,Windows
Asus,Ultrabook,14,8,1.25,128.60377783630776,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Acer,2 in 1 Convertible,13,8,1.5,126.08747070799657,1,1,169.45439769863833,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,15,8,2.2,122.02910728404896,0,0,146.86047800548656,Intel Core i7,1000,0,AMD,Other
Dell,Notebook,15,4,2.2,119.52760697175697,0,0,146.86047800548656,Intel Core i3,0,256,AMD,Other
Asus,Notebook,15,6,2.0,121.57124208986643,0,0,146.86047800548656,Intel Core i3,0,256,Nvidia,Windows
HP,Gaming,15,12,2.62,130.65684658866616,0,1,146.86047800548656,Intel Core i7,1000,128,Nvidia,Windows
HP,Notebook,15,8,1.91,124.15986072909432,0,0,146.86047800548656,Intel Core i7,0,256,AMD,Windows
HP,Notebook,15,4,2.1,115.6559580214182,0,0,146.86047800548656,AMD Processor,500,0,AMD,Windows
Dell,Notebook,15,8,2.2,122.91853023164569,0,0,146.86047800548656,Intel Core i5,1000,0,AMD,Other
HP,Ultrabook,13,8,1.38,129.3638564358485,0,1,169.45439769863833,Intel Core i7,0,256,Nvidia,Windows
Microsoft,Ultrabook,13,8,1.252,131.4843237833628,1,0,208.56727378068615,Intel Core i5,0,256,Intel,Windows
HP,Notebook,14,6,1.58,123.13461698966763,0,1,157.3505121487356,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,15,4,1.85,117.6908725292423,0,0,146.86047800548656,Intel Core i3,1000,0,Intel,Windows
Asus,Ultrabook,14,8,1.3,130.11728594724522,0,1,157.3505121487356,Intel Core i7,0,256,Nvidia,Windows
MSI,Gaming,15,16,2.2,131.1186415376055,0,0,146.86047800548656,Intel Core i7,1000,256,Nvidia,Windows
Lenovo,Notebook,14,8,1.58,132.65340427843537,0,1,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Asus,Ultrabook,15,16,1.5,130.77873093477442,0,0,146.86047800548656,Intel Core i7,1000,256,Nvidia,Windows
Dell,Ultrabook,13,8,1.23,131.82186056332594,1,0,282.4239961643972,Intel Core i7,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,13,8,1.37,131.99117007062782,1,1,169.45439769863833,Intel Core i5,0,256,Intel,Windows
HP,Notebook,14,4,1.63,124.20889654041731,0,1,111.93520355955211,Intel Core i5,500,0,Intel,Windows
Dell,Ultrabook,13,8,1.21,133.7819868044214,0,1,169.45439769863833,Intel Core i5,0,256,Intel,Windows
HP,2 in 1 Convertible,13,8,1.26,131.99117007062782,1,1,169.45439769863833,Intel Core i5,0,256,Intel,Windows
HP,Notebook,14,8,1.63,128.98995423704304,0,0,157.3505121487356,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,15,8,2.16,129.4822495763531,0,1,146.86047800548656,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,17,4,2.0,121.30299748454513,0,0,129.58277471072344,Intel Core i3,1000,0,Nvidia,Windows
Asus,Notebook,15,8,1.7,129.35339321853286,0,0,146.86047800548656,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,15,6,2.1,119.3814629574494,1,1,146.86047800548656,Intel Core i3,1000,0,Intel,Windows
MSI,Gaming,15,16,1.8,137.53709973682209,0,0,146.86047800548656,Intel Core i7,2000,256,Nvidia,Windows
Lenovo,Notebook,15,8,2.2,122.58659561297114,0,0,146.86047800548656,Intel Core i5,0,256,Nvidia,Other
HP,Notebook,17,16,2.5,130.86224510245572,0,0,129.58277471072344,Intel Core i7,0,512,Nvidia,Windows
Acer,Notebook,15,4,2.1,118.67274292931779,0,0,104.47285665558198,AMD Processor,0,256,AMD,Windows
HP,Notebook,15,4,1.86,112.14716104176159,0,0,104.47285665558198,Other Intel Processor,500,0,Intel,Other
HP,Notebook,14,8,1.63,125.59093157182853,0,0,157.3505121487356,Intel Core i5,1000,0,Intel,Windows
Asus,Notebook,14,4,1.65,112.97981033525316,0,0,111.93520355955211,AMD Processor,0,64,AMD,Windows
Dell,Notebook,17,16,2.8,131.96588890910934,0,0,129.58277471072344,Intel Core i7,2000,256,AMD,Windows
HP,Notebook,17,8,2.5,127.16181307532345,0,0,129.58277471072344,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,15,8,2.36,122.7718899135485,0,0,104.47285665558198,Intel Core i5,1000,0,AMD,Windows
Dell,Notebook,15,4,2.2,118.62023739702805,0,0,146.86047800548656,Intel Core i3,1000,0,AMD,Windows
Acer,Ultrabook,14,8,1.6,126.59040692321074,0,1,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Acer,Notebook,15,4,2.2,121.4690014712537,0,0,146.86047800548656,Intel Core i3,0,256,Nvidia,Windows
HP,Notebook,15,8,2.05,121.99187130667646,0,0,104.47285665558198,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,14,8,1.63,127.89895225082397,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,15,4,1.9,111.8414049845335,0,0,104.47285665558198,Other Intel Processor,1000,0,Intel,Other
Asus,Gaming,17,8,3.0,127.28796103050821,0,0,129.58277471072344,Intel Core i5,1000,128,Nvidia,Windows
Lenovo,Notebook,15,4,2.2,119.86244876162603,0,0,146.86047800548656,Intel Core i5,1000,0,Nvidia,Other
HP,Notebook,13,4,1.32,123.82783648608115,0,1,169.45439769863833,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,17,4,3.0,123.06302815302793,0,1,129.58277471072344,Intel Core i3,1000,0,Nvidia,Windows
Lenovo,Notebook,14,8,1.75,129.33243882579038,0,1,157.3505121487356,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,15,8,2.4,126.38911173975048,0,1,146.86047800548656,Intel Core i7,0,256,Nvidia,Other
Toshiba,Notebook,15,4,2.1,122.07026132688772,0,0,104.47285665558198,Intel Core i5,500,0,Intel,Windows
HP,Notebook,15,4,1.86,116.31181786275474,0,0,104.47285665558198,AMD Processor,0,256,AMD,Windows
Asus,Ultrabook,14,8,1.25,129.15159784113894,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
HP,Ultrabook,12,8,0.97,136.27790179363836,1,1,367.1511950137164,Other Intel Processor,0,512,Intel,Windows
Asus,Notebook,15,4,2.0,115.48643754340627,0,0,146.86047800548656,Other Intel Processor,1000,0,Intel,Windows
MSI,Gaming,17,16,2.9,136.36528829632795,0,0,129.58277471072344,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,15,4,2.1,118.56799048892361,0,0,104.47285665558198,Intel Core i3,1000,0,Intel,Windows
Dell,Gaming,15,16,2.56,130.65932143729216,0,0,146.86047800548656,Intel Core i7,0,512,Nvidia,Windows
Dell,Gaming,15,8,2.62,126.78831584179801,0,0,146.86047800548656,Intel Core i7,0,0,Nvidia,Windows
Lenovo,Notebook,15,4,1.9,119.8389716665408,0,0,104.47285665558198,Intel Core i5,0,128,Intel,Windows
MSI,Gaming,17,16,2.8,135.53036736911412,0,0,129.58277471072344,Intel Core i7,1000,256,Nvidia,Windows
HP,Ultrabook,14,4,1.48,128.96813773901906,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,15,6,1.91,122.39797948761682,0,0,146.86047800548656,Intel Core i5,0,256,AMD,Windows
Lenovo,2 in 1 Convertible,14,4,1.74,122.58659561297114,1,1,157.3505121487356,Intel Core i3,0,256,Intel,Windows
Asus,2 in 1 Convertible,13,8,1.1,131.26275540295586,1,0,169.45439769863833,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,15,8,1.56,128.60377783630776,1,0,146.86047800548656,Intel Core i7,0,256,Intel,Windows
Toshiba,Notebook,15,4,2.1,118.56799048892361,0,0,104.47285665558198,Intel Core i3,500,0,Intel,Windows
Asus,Notebook,15,4,2.03,117.34850641142832,0,0,104.47285665558198,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,17,4,3.0,125.4890585060183,0,1,129.58277471072344,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,15,8,2.13,124.30605593281835,0,0,146.86047800548656,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,15,16,2.5,128.93564392227674,0,1,146.86047800548656,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,15,4,2.1,115.62237568004872,0,0,104.47285665558198,Other Intel Processor,1000,0,Intel,Windows
MSI,Gaming,15,16,2.4,134.9497530868193,0,1,146.86047800548656,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,15,4,2.1,116.13516167770021,0,0,104.47285665558198,Other Intel Processor,1000,0,Intel,Windows
Dell,Gaming,15,8,2.56,128.7319042147625,0,0,146.86047800548656,Intel Core i7,1000,128,Nvidia,Windows
Acer,Notebook,17,8,3.0,126.18431239173674,0,1,129.58277471072344,Intel Core i5,0,256,Nvidia,Windows
HP,Notebook,13,4,1.49,124.71912144523995,0,1,169.45439769863833,Intel Core i5,500,0,Intel,Windows
Huawei,Ultrabook,13,8,1.05,131.5629926942607,0,1,199.69207064108247,Intel Core i5,0,256,Intel,Windows
HP,Notebook,17,6,2.71,123.82783648608115,0,1,129.58277471072344,Intel Core i5,2000,0,AMD,Windows
Lenovo,Notebook,15,4,2.2,114.22389310605722,0,0,104.47285665558198,AMD Processor,500,0,AMD,Other
Toshiba,Notebook,15,4,2.0,119.62418792769297,0,0,104.47285665558198,Intel Core i3,500,0,Intel,Windows
HP,Notebook,17,8,2.5,127.09834783523041,0,0,129.58277471072344,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,15,8,2.3,118.87949057303545,0,0,104.47285665558198,Intel Core i3,1000,0,Intel,Windows
Acer,Notebook,15,4,2.1,118.62023739702805,0,0,104.47285665558198,Intel Core i3,0,128,Intel,Windows
MSI,Gaming,18,32,4.4,140.1502381790903,0,0,122.38373167123879,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,Notebook,15,8,1.9,125.6053355214673,0,0,146.86047800548656,Intel Core i5,1000,128,AMD,Windows
HP,2 in 1 Convertible,13,8,1.29,132.80343250607032,1,1,338.90879539727666,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,15,16,2.02,128.60377783630776,0,0,146.86047800548656,Intel Core i7,2000,256,AMD,Other
Dell,Ultrabook,13,8,1.23,131.99117007062782,0,0,169.45439769863833,Intel Core i5,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,13,16,1.4,135.27227841506166,1,1,338.90879539727666,Intel Core i7,0,512,Intel,Windows
Toshiba,Notebook,15,8,2.0,125.31245939963233,0,0,104.47285665558198,Intel Core i5,0,128,Intel,Windows
Xiaomi,Notebook,15,8,1.95,130.17618211324339,0,1,146.86047800548656,Intel Core i5,0,256,Nvidia,Other
Dell,Notebook,17,16,2.77,133.18945809081865,1,0,129.58277471072344,Intel Core i7,0,512,Nvidia,Windows
Dell,Notebook,15,16,2.06,138.3262000840364,1,0,293.7209560109731,Intel Core i7,0,512,Nvidia,Windows
Lenovo,Gaming,15,8,2.4,125.1028780562426,0,1,146.86047800548656,Intel Core i5,0,256,Nvidia,Other
Acer,Ultrabook,13,8,1.12,127.91079165068201,0,1,169.45439769863833,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,17,8,2.8,129.00074557585765,0,0,129.58277471072344,Intel Core i7,1000,128,AMD,Windows
Lenovo,2 in 1 Convertible,14,16,1.42,140.25485345625498,1,0,209.8006828649808,Intel Core i7,0,1000,Intel,Windows
Vero,Notebook,14,4,1.3,112.19226179497946,0,1,157.3505121487356,Other Intel Processor,0,0,Intel,Windows
Xiaomi,Ultrabook,13,8,1.3,128.03980304848477,0,1,169.45439769863833,Intel Core i5,0,256,Nvidia,Other
Lenovo,Notebook,17,8,2.8,123.81108164453967,0,0,107.98564559226952,Intel Core i5,0,256,Nvidia,Other
Dell,2 in 1 Convertible,13,8,1.62,125.97562152482448,1,1,169.45439769863833,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,17,8,2.5,126.9829505432959,0,1,129.58277471072344,Intel Core i5,1000,0,Nvidia,Windows
Razer,Gaming,17,32,3.49,149.3135096655869,1,0,259.1655494214469,Intel Core i7,0,1000,Nvidia,Windows
HP,Notebook,13,8,1.49,127.54848009221244,0,0,169.45439769863833,Intel Core i5,0,512,Intel,Windows
HP,Gaming,17,16,3.35,131.82186056332594,0,1,129.58277471072344,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,17,8,2.5,128.55885547136762,0,0,129.58277471072344,Intel Core i7,0,256,Nvidia,Windows
Dell,Gaming,15,16,2.65,135.2468136417635,0,1,293.7209560109731,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,Notebook,15,4,2.1,119.72043038336292,0,0,104.47285665558198,Intel Core i5,0,128,Intel,Windows
Acer,Notebook,15,8,2.23,124.53018465695466,0,0,146.86047800548656,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Gaming,15,16,3.2,134.61813616022178,0,1,146.86047800548656,Intel Core i7,1000,512,Nvidia,Windows
Dell,Workstation,15,16,2.8,141.17989931679193,0,0,293.7209560109731,Other Intel Processor,1000,256,Nvidia,Windows
Lenovo,Gaming,15,16,2.4,131.98280170163392,0,0,146.86047800548656,Intel Core i7,0,512,Nvidia,Other
Dell,Notebook,15,6,2.3,118.35514230234276,1,0,104.47285665558198,Intel Core i3,1000,0,Intel,Windows
Dell,Ultrabook,13,8,1.21,135.89195738210145,1,1,338.90879539727666,Intel Core i7,0,256,Intel,Windows
Dell,Ultrabook,13,8,1.2,132.40430983992525,0,0,169.45439769863833,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,15,8,2.2,121.9722843854424,0,0,104.47285665558198,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,15,8,2.4,125.1028780562426,0,0,146.86047800548656,Intel Core i7,1000,0,Nvidia,Other
Asus,Gaming,17,16,2.9,132.05821748088994,0,0,129.58277471072344,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,15,4,2.1,115.6559580214182,0,0,146.86047800548656,Intel Core i3,500,0,Intel,Other
Lenovo,Notebook,15,8,2.2,120.98593567805966,0,0,146.86047800548656,Intel Core i5,0,256,Intel,Other
Huawei,Ultrabook,13,8,1.05,132.80343250607032,0,1,199.69207064108247,Intel Core i7,0,512,Intel,Windows
Dell,Ultrabook,13,8,1.4,127.21096564598668,0,1,169.45439769863833,Intel Core i7,0,256,AMD,Windows
Lenovo,Notebook,17,8,2.8,121.81327921783523,0,0,107.98564559226952,Intel Core i5,1000,0,Nvidia,Other
HP,Notebook,14,8,1.63,128.400155404774,0,0,157.3505121487356,Intel Core i7,0,256,Nvidia,Windows
Dell,Ultrabook,14,8,1.6,129.67504010760373,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,13,16,1.62,130.9361964923202,1,0,169.45439769863833,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,15,8,2.2,123.4578415942629,0,0,146.86047800548656,Intel Core i5,0,256,AMD,Other
Lenovo,2 in 1 Convertible,14,8,1.74,126.78831584179801,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Toshiba,Ultrabook,13,8,1.2,131.68447446348787,0,0,169.45439769863833,Intel Core i7,0,256,Intel,Windows
HP,Notebook,15,8,2.1,125.32720813788934,0,0,146.86047800548656,Intel Core i5,1000,0,Intel,Windows
Dell,Gaming,17,16,4.42,138.61384787073726,0,1,129.58277471072344,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,15,8,2.2,125.8770394139066,0,0,146.86047800548656,Intel Core i7,0,256,Nvidia,Windows
Dell,Notebook,15,16,2.3,126.25314709488892,1,0,146.86047800548656,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,15,8,2.0,124.95081677865277,0,0,146.86047800548656,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,17,8,2.69,126.68321191533832,0,0,129.58277471072344,Intel Core i5,500,256,Nvidia,Windows
HP,Notebook,15,8,1.9,130.84381489991324,0,0,146.86047800548656,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,15,4,2.37,117.23121162535298,0,0,104.47285665558198,Intel Core i3,1000,0,Intel,Windows
HP,Notebook,15,4,2.1,114.99755543319384,0,0,104.47285665558198,AMD Processor,500,0,AMD,Windows
Lenovo,Gaming,15,16,3.2,132.80343250607032,0,1,146.86047800548656,Intel Core i7,1000,256,Nvidia,Windows
Dell,Notebook,14,8,1.6,126.25289003693298,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Acer,2 in 1 Convertible,13,8,1.6,123.65824309894502,1,1,169.45439769863833,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,15,16,2.36,126.78831584179801,0,0,146.86047800548656,Intel Core i7,0,256,AMD,Other
